Sub #,Proof-read,Select your age range,Select your location
1702,"Alternative treatments for cancer that are not invasive. Maybe herbal treatments for early invention. 

Long term effect of COVID on health care workers.",50-59,Dublin
1703,"Prevention and early intervention, Ireland’s own ACE,s study and implement policy around it to protect children’s mental health.",,
1704,Research more into tidal energy.,20-29,
1705,"More festivals and a presence in our communities to give an opportunity to see non famous bands.
Opportunities to experience busking in more rural areas. Bring busking culture in smaller towns
Accessibility for younger people for younger people to enjoy arts and culture.
Free cultural nights where you can see buskers in a venue and experience. This will improve the prospects for arts and culture.
School initiatives.",,
1706,"Stay green.
Stop racism. 
More open minded people.",,
1707,Early intervention for the mental health crisis.,20-29,Dublin
1708,Co working spaces in the country- computers WiFi desks so people don’t have to travel to the inner city. Stimulating business in the area.,16-19,Dublin
1709,"Decriminalise drugs and open more rehabilitation centres for example Portugal.
Fund mental health intimations.",,
1710,"Stop having so much money wasted on advisors, have politicians qualified for the job! Bring their pay inline with most salaries. 
Stop ludacris pensions for Ministers . Do not allow them draw down early until they reach the retirement age that the government thinks we should all work till (70 now is it) . 
Get rid of unvouched expenses and the Dail bar what other worse place has a pub with subsidised pints?",30-39,Dublin
1711,"Stop diesel cars , more electric cars.",,
1712,What will be the effect of reforming the United Nations Security Council?,30-39,Limerick
1713,Does the united nation security council veto powers illustrate inequality?,,
1714,How to steal Iarnród Éireann.,90+,Leitrim
1715,"In our emergency, no more time for detours like renewables that emit lots CO2 and deface the earth! Scientist Rupert Sheldrake says for food security we need to cut up cattle land (cattle massively destroy climate, and soon there will be more more food in the shops!) into allotments, giving farmers subsidies for leasing. And our abodes need to be dug underneath, as there will be no heating nor transport. Now !",60-69,
1716,"With scientist Rupert Sheldrake, cut up cattle land into allotments! for food security and to live underneath. No more time for renewables detours!",,
1717,"Rupert Sheldrake, scientist , says to cut up cattle land into allotments.",,
1718,"The introduction of home economics/culinary arts as a complusory subject within the post-primary curriculum. Ultimately, nutrition and culinary arts are key life skills that we are depriving students who may not do home ec of. Even the introduction of 50/80 hours in the Junior cert as seen when well-being was introduced.",20-29,Dublin
1719,"As our population ages, the number of research scientists with lifelong experience required to retire (aged 65) from research providing organisations will grow. While some will welcome retirement, many may welcome the opportunity to continue to contribute to research, at least on a part-time basis. Opportunities and programmes to facilitate the continued engagement of this group of scientists should be explored.",60-69,Cork
1720,"As our population ages, the number of research scientists with lifelong experience required to retire (aged 65) from research providing organisations will grow. While some will welcome retirement, many may welcome the opportunity to continue to contribute to research, at least on a part-time basis. Opportunities and programmes to facilitate the continued engagement of this group of scientists should be explored.",60-69,Cork
1721,"Universal health care like they have in Canada for all. It’s an obscene amount of stress that someone who is barely making ends meet, either pays for personal health insurance, or takes the chance and goes without it when they don’t pass the means test for a medical/ doctors visit card. We struggle so badly trying to make ends meet pay cheque to pay cheque, and because of this, we can’t afford to have kids.",40-49,Laois
1722,"Generational dole/welfare families. It’s disgusting to see generations of families on the dole who don’t work, scream all day at their children, doing drugs, drinking, and always have money for cigarettes. But yet, their kids have nothing because they can’t afford it. Something has to be done about that.",,
1723,Passing a law for paid sick days especially for minimum wage employees who at the moment have no choice but to go to work seriously sick because they can’t afford to take a day off to heal.,,
1724,"Homeless clothes and food card, that you can’t buy alcohol or cigarets with, that is not attached to an individual person. Big stores like Dunnes, Spar, Lidl, Aldi, Supervalu, Tesco’s extra can add there logos and have there advertisement there by giving clothes and clothes free to the cardholder when they use it at one of there shops. These could be given out at homeless shelters etc.",30-39,Kildare
1725,"Homeless food and clothes card, if a person loses their card they can easily be issued with another one . 

Get top business owners to help and mentor unemployed people interested in starting a business. The unemployed should have motivation classes, business classes for budding entrepreneurs for unemployed people starting micro-businesses for example vape mobile.",30-39,Kildare
1726,Create a tenants register so landlords know bad tenants and to see references and recommendations by landlords for tenants. There needs to be a tennants register like a landlords register so landlords can review who they are putting into there place. And a similar one for landlords so tenants can review their landlord.,30-39,Kildare
1727,"??Idea: cleaning on wheels; like meals on wheels but doing cleaning instead for the old and infirm.
??Idea: socialization on wheels; bringing cards, boardgames, knitting, crochet, bridge, whist to the elderly or those living on there own, in groups or singles.",30-39,Kildare
1728,"??Idea: make local theaters global with paid online live streaming for international audiences across the world on websites- paid per view, eg Moate Theatre Naas, Kerry’s local theatre or a very small village like Mullagh, County Clare that puts on plays with the local theatre players in the community or like the Kildare Drama festival. Someone in New York could pay money and watch a local show online.",30-39,Kildare
1729,"Teach Ramsey Education from Ramsey Solutions or a government version of this at schools. It teaches secondary and third level students good money habits about saving, debt education, how to use your money correctly and how to not get in debt. There needs to be more public understanding on pay day lenders and living paycheck to paycheck. Central bank needs more regulation on pay day lenders and their interest rates.",30-39,Kildare
1730,The Central Bank must have more stringent control on how much interest money lenders can charge on their personal loans. They go after the poorest as they lack basic financial knowledge. The public must be made aware of this. There needs to be more public education on basic financial principals and terminology such as APR. The public must understand how much interest they are being charged for a personal loan.,30-39,Kildare
1731,"??Idea: Community garden, a free community allotment for people who don't have a space to grow vegetables. These gardens need to be in all towns across Ireland. In can run with community initiatives and mens sheds. It could have an outdoor place to have drinks and food, to welcome new people to the area and foster a sense of community.",30-39,Kildare
1732,"Set up a community outreach group based in all schools. They would identify and work with children in need and liaise with struggling families.
I would also love to see schools here modelled on the Finland schools - where psychologists and counsellors work within schools to help students with issues as soon as they arise.",,Dublin
1733,"Offer all people retiring at 65 a free ebike. Research the health, societal impact, economic, signalling, and decarbonising benefits to society.",60-69,Wexford
1734,"The very high quality of rainwater on the west course of Ireland is an untapped resource. Irish water show little or no interest in its potential. As a former member of the public water forum I can say this with authority. I have gathered rainwater in a stainless steel bowl and it is almost pure, ie. no contamination whatsoever. medicines or other compounds  suspended in it might prove to be more efficacious.",60-69,Galway
1735,"I would love for organisations to have explicit and widely supported female enablement working policies, with care for menstruation, menopause and all factors and impediments that make it more difficult for a woman to be as successful in a professional role in industry and sports etc. as a man.",40-49,Wicklow
1736,"1. The impact of parasitic infections on the complement response and health status of humans and animals. 2. How parasite-derived glycans and glyco lipids can be incorporated in vaccines as adjuvants?
3. New models to produce recombinant glycans. 4. Can free living parasites be engineered to produce glycans from worm parasites?",30-39,Galway
1737,"This is more a barrier which biomedical researchers encounter.
Biomedical research is limited by the bureaucracy surrounding obtaining licenses and approvals for pre-clinical research necessary in order to translate research from bench to bedside. Research employment contracts are on average 2 years in duration, it can take up to 2 years to gain approval therefore the research project is limited, no new therapies.",30-39,Galway
1738,"1. Using the 12 principles of green chemistry invent new green materials.  Invention with intention.
2. Engage the public with environmental research and science.
3. Engage in more parasitology research which will benefit Ireland and the world.
4. Research into the circular economy and sustainability in manufacturing and related industries in Ireland.  Lab waste into new lab products manufacturing in Ireland.",50-59,Galway
1739,"Research new pathways for creating sustainability and circularity, beyond recycling, in composites manufacturing.",50-59,Galway
1740,"Reduce food processing and encourage people to eat, fruit, veg, meat, fish, poultry etc. Preferably locally grown or produced. This would improve the health of the nation and reduce diseases scientifically  associated with food processing.",,Kildare
1741,Eliminate the use of plastic by 2050.,,Kildare
1742,Use recyclable glass bottles and containers. Bring back the refund system  for glass.,,Kildare
1743,Expand this ideas initiative to all sectors. Why is it in the towns on a working day during working hours? Why not at weekends? Why not in the rural areas? Why not ask the older generation?,,Kildare
1744,Create affordable community work hubs in every community for work from home employees or visitors.,,Kildare
1745,Develop opportunities for students from disadvantaged communities to experience how is carried out.,50-59,Galway
1746,"Food waste is a national problem, yet children and young people are not encouraged & provided with the facilities to heat up leftover foods from home in school. No fridges, no microwaves, no advancement in flasks (develop a proper food flask that keeps food warm!). Safe food can be achieved!

Stop privatization of lunches by suppliers (DEIS) who deliver poor quality food. These 'lunches' are then binned at home.",50-59,Longford
1747,I think if family were not putting all their energy into finding a home  you would find a lot more creative people.,60-69,Offaly
1748,"The possibility of more comprehensive tests for the public to carry out ourselves at home on our health for example.
Now we have Covid tests with instant results, blood pressure tests.
Could we have infection tests eg kidney, uti, etc.
Cancer tests.
Deficiency tests for minerals, vitamins, iron etc.
Energy tests.
Any other test that could be carried out with ease ourselves.",50-59,Wexford
1749,"Developing better recycling systems.

Exploring the work life balance of working mothers.

Researching better childcare options.

Research ways of eliminating homelessness.

Explore ways of providing more public amenities water springs, public seating and toilets.",,
1750,"Further research in ADHD and dyspraxia in girls.

Production of electronic chips.

Better education.

Improving public transport.

Climate action.",,
1751,Money support for students during summer.,,
1752,"Research into older people's mental health, work, happiness, exercise, lifestyle etc. and what effect these have on their overall health as they age and retire, so they can learn how to create a better future for themselves.",60-69,Wexford
1753,A workable solution to Ireland's ongoing and long-standing housing crisis. It affects the vast majority of Irish people in some way and it is going to continue to do so for the coming generations if a solution is not found and implemented. Surely Irish researchers can come up with a possible solution that the gov would listen to and consider implementing. What an achievement that would be for Irish research.,50-59,Kilkenny
1754,Key focus for me would be affordable housing.,20-29,Carlow
1755,"Next most important research subject for me is the environment, its crucial to see major changes in the world as soon as possible.",20-29,Carlow
1756,"I think Ireland should focus on the environment, especially with renewable energy and materials. We are blessed with a wide biodiversity on this island and we can really put it to good use. Another issue would be correct waste management. There is far too much waste from domestic and commercial buildings which isn’t properly sorted and/ or destroyed in a way which doesn’t affect our planets carbon footprint.",20-29,Carlow
1757,"Business owners should have to pass a business test before they can get a business loan. Business owners must understand about profit and loss. Local county council enterprise could do small business courses for startups to offer tests/certificates to get their startup loan, they should mentor and nurture them in their first 18 months to make sure they succeed. There should be focus to help local businesses succeed.",30-39,Kildare
1758,"I would like to see more than anecdotal evidence that people who think differently such as those with dyslexia or autism can and do change the world because of the way their brains work, in order to learn how best to support them in school and in society so that they feel more valued than marginalised when they don’t behave and learn and work in the same way as others.",50-59,Dublin
1759,"I would like to see a pilot nurture school or nurture group project run across the country and a longitudinal study to see how effective it is at keeping people in school as well as its impact on the well being of pupils in our schools. In my old school we set up and ran a nurture group and all staff and children reported felt that it was successful, even when it meant less staff in classrooms as a result.",50-59,Dublin
1760,"I would like Ireland to be at the forefront of exploring how to harness wave energy, especially as we are an island nation and could benefit greatly from such a discovery.",50-59,Dublin
1761,"The link between nutrition and mental health in medical led research.  I would like research that does standard blood tests for mineral and vitamin deficiencies and treating for any deficiencies discovered before diagnosing and treating a mood disorder, unless not doing so is immediately life threatening to the service user.",50-59,Dublin
1762,The link between people who have had mesh implants who have gone on to develop auto immune disorders.,50-59,Dublin
1763,The number of people who have taken immurin who have developed pancreatitis or unusual primary pancreatic cancer.,50-59,Dublin
1764,"Rethink the design of Irish cities. Neighbourhoods should be linked and not isolated states.  We should find a way to remove cars from the streets and roads so sustainable mobility (bus, train, tram, cycling, walking is more attractive.",40-49,Galway
1765,Benefits of sea swimming in cold water is it really healthy?,40-49,Galway
1766,"Develop networks of researchers to maximise the value an data obtained from pre-clinical, clinical and veterinary samples.  Precious biological material and data gathered for project #1 could also be used by researchers on another project #2.  Ethics, consent etc. would have to be taken into account as well as logistics to make this happen.",50-59,Galway
1767,"Hydroponic solutions and how to put this practice in place at large in Ireland.
Too much greenhouse gases come from livestock, change needs to happen now or there will be no time to act.",20-29,Carlow
1768,"Self sustaining/ green/ environment first, food initiatives. 
Not just the regular greenhouse.. look at the farms that have been created in the Netherlands, don’t leave Ireland behind in time of great need for innovation towards big steps in climate change.",20-29,Carlow
1769,Developing sustainable/ ecologically friendly methods of parasite control in livestock.,40-49,Galway
1770,"Collaborative research between scientists, parasitologists, vets and industry to maximise experimental research of animal disease to enhance animal productivity and welfare.",40-49,Galway
1771,Accommodation and better infrastructure to support brain circulation of researchers around the EU and beyond.,20-29,Galway
1772,Engagement with industry and bio-medial suppliers on ways we can work together to reduce wastage in the lab.,20-29,Galway
1773,Further funding to investigate the value of parasite derived molecules in the treatment of human and animal diseases.,20-29,Galway
1774,Research into better adjuvants for vaccines.,40-49,Galway
1775,Research into veganism is it saving the planet or causing more land devastation for crop production.,40-49,Galway
1776,"Upgrade the N80 to motorway status. Athlone/ Tullamore/ Portlaoise/ Carlow/ Enniscorthy Wexford/ Rosslare. 

Rebuild the railway to Navan. 

Extend Dublin bus into Meath like in Kildare and Wicklow. 

More greenways - every county should have them. My county Carlow has none and it’s being left behind. All greenways should link up to have a national network. 

Dredge our canals. Many are overgrown with weeds.",50-59,Carlow
1777,"It's scandalous that in 2021 we still don't use readily-Biodegradable plastics/ polymers routinely for the majority of plastic industrial packaging, domestic consumer goods, food wrapping, & other high-volume waste streams.

Research removal of bottlenecks in production, distribution, governance/reg framework & waste-management infrastructure for bio-deg plastics. Environmental & tox. impact of breakdown products.",30-39,Dublin
1778,The environmental impact of having all primary school finish at the same time .and reduce the number of unnecessary car journeys that are made each day forcing many families to do 2 pickups especially impacting families that do not live within walking distance of the school . The final hour could be used as free play or downtime for the students as the teacher remain in the school . A + for  environment,50-59,Kildare
1779,"Researchers should explore the basic needs of young people, helping them achieve a training, skill, that will enable them, gain confidence and a career. Lesser emphasis on third level, not giving kids benefits, dole,  giving them pride in achieving for themselves. greater approach in educating children from all classes, the importance of being happy, careers, workshops, work experience, more media ads.",50-59,Limerick
1780,"Research on themes of: ecofuturism, social justice, and a stable planetary population within a post-scarcity economy.

What does a hopeful future look like; one free from preventable disease, rat-race jobs, exploitation, overpopulation, hypercompetiveness, environmental ruin, war, and urban ugliness?

Research positive, greener visions of humanity's future - in science, the arts & in our cultural institutions.",30-39,Dublin
1781,"Modern TVs (smart TVs etc) do not cater for the hard of hearing and ' normal ' hearing household. Most, when an audio jack is plugged in, cut off the sound for ' normal ' hearing and direct it to headphones only. The only way to circumvent this is to buy both a bluetooth tv and headset. And even then if you add in a soundbar it's PhD level tinkering to get it working.  I've a PhD but my parents don't!  Fix that one!",40-49,Westmeath
1782,"I'd love to see joint Irish/EU and Australian research as part of a long-term partnership on the Great Barrier Reef.

Research into its: ecology, physical geography & composition, mineralogy, biochemistry and molecular biology, biodiversity and geological history.

Joint research (IE/AU/NZ/Pacific Islands) also on 'environmental sociology' to bolster conservation and protection of this UNESCO World Heritage site.",30-39,Dublin
1783,"Much greater research to prevent any nation from attempting to place weapons in Earth orbit or outer space. Enlist UN and EU research support.

Research to strengthen international law and effective controls for keeping space weapon-free.

Renewal of the outer space treaty and constructive dialogue with US, China, UK etc. on UN Security Council. 

Practical multilateral research suggestions to defuse arms race.",30-39,Dublin
1784,"Research on effective, and timely solutions to entirety cancel national debts of all developing countries, for example in Africa.

For example, legal instruments to persuade debt holders (banks) to cancel debts on human and compassionate grounds.

This is especially important given the legacy of colonialism, slavery, and exploitation experienced by many of these countries. Irish research can surely contribute?",30-39,Dublin
1785,More vegan options/ awareness. For health and the planet. Irish people are so unfit and overweight it is embarrassing.,20-29,Galway
1786,"I think it would be good for individuals to be able to work out their own CO2 production ( yes including breathing ! at rest or vigorous exercise) based on 10-15 activity criteria. Like a 'bank balance' we could then figure out how many trees we need to plant  (what kind) to offset this. An interesting research question could be how many trees would Ireland need to plant to reduce its carbon footprint by 10%, 20% or 30%",60-69,Sligo
1787,"That all towns, villages and cities should be by default be cycle, walk, public transport first, and then cars lorries etc last. Cars etc are currently thought of first when it comes to transport design and implementation. We could transform our country by changing our priorities. Imagine all children where possible cycling to school.",40-49,Tipperary
1788,"Possible cure for herpes virus:

When dry ice (sub-zero temperatures) is applied to the lesions, it kills them dead. 

Perhaps some sort of epi-style pen could be designed to make application pinpoint accuracy.",50-59,Dublin
1789,"Everyone is speaking about climate change and increasing request for energy so I wonder if our scientists and engineers can find a solution to build small wind turbines in our garden or roofs to more electricity where it is used. I know there could be issues with birds and their migration routes, noise for the households, and others but I think this is worth I investing to study how to solve them. For our future.",50-59,Galway
1790,I think work needs to be done on getting marginalised people into work and exploring the barriers that exist for them and what steps need to be taken to overcome them.,40-49,Dublin
1791,Researchers in Ireland should explore the benefits of CBD. A natural plant that grows worldwide unfortunately for illegal purposes but I think if you look past that and detach the stigma it has a lot of benefits.,30-39,Dublin
1792,"Use seaweed for health purposes, we done a study in college in UCD and found seaweed has a lot of health benefits for humans. This can be explored and researched more.",30-39,Dublin
1793,"Ocean/beach cleanup day from secondary schools in transition year. Make a nationwide ocean clean up day right around the coast of Ireland. 

Teach kids the importance of the sea + getting rid of plastic and get them interesting before hand maybe create some sort of competition / leaderboard for each school to keep kids interested. 

Make this national news by getting as many schools involved as possible + media.",30-39,Dublin
1794,Equipping our youth to navigate technology so their growing brains and future mental health isn’t negatively impacted. Also researching the effect on education of parents in this space.,30-39,Limerick
1795,"Research into genetics. As genetic testing becomes more widespread, we need to better understand the multifaceted nature of testing for, and being informed of, genetic conditions. We need to understand how data can and should be managed. We need to delve into the psychological impacts of finding out about a genetic condition, or actively choosing not to be tested for one. Genetics is a field that will only grow!",20-29,Galway
1796,"More and more environmental research can take advantages of the earth observation satellite. 

More research investment needed in the field of AI and earth observation.",30-39,Galway
1797,I think researchers should explore the potential benefits of removing advertising from social media.,,Dublin
1798,I think researchers should explore whether to introduce a licence for all pet/animal ownership. People should be held accountable for the animals that they decide to bring into their lives - whether it's a puppy or a mouse.,,Cork
1799,"The average working family cannot afford to retrofit their home (€50k+). We desperately need researchers and Gov to find cheaper, more efficient ways to do this ASAP. Also expediting research and policy to make the move to bio generated/methane-based heating in homes, taking waste (human, food etc.) to be recirculated in the home must be brought to market sooner.",,
1800,"I think researchers should explore the benefits of developing a new midlands city. A new hub to take the pressure off Dublin, but also to make travel throughout the country more accessible and realistic.",,
1801,"Adding red/amber light to traffic light sequences. 
-Does it cut down tailgating and driving through amber and red lights?
-Does it reduce accidents?
-Does it cut waiting times/traffic jams?
Introduce penalry cameras to traffic lights to discourage driving through red lights and sitting in yellow boxes.",40-49,Dublin
1802,"Introduce smart traffic lights to reduce traffic jams, air- and noise-pollution.",40-49,Dublin
1803,"All primary schools must arrange afterschool activities such as sports, music, art, typing, science, chess clubs etc. They could be provided by private operators but the school must organise them and school premises must stay open until 5.30pm. Before school clubs must also be available from 8am. To facilitate working parents, allow more women to work and provide opportunities that the schools don’t presently provide.",40-49,Dublin
1804,Make it illegal to park on pavements/enforce parking laws.,40-49,Dublin
1805,Introduce one national volunteer organisation where you can apply for all local volunteering opportunities.,40-49,Dublin
1806,"While the 2000 millennium was 21 years ago, I think we should still celebrate this by planting a huge forest over the next 80 years for the people of 3000 to enjoy,",40-49,Carlow
1807,"Reduce all town speed to 30km, following the Dutch model with cycle paths crossing road at the same height as the paths and the cars having to slow down , so our future kids can travel to school/ university is safety as well as encouraging older people to feel safe , cycle and healthy.",40-49,Carlow
1808,"Retirement should be a phased approach from 60, so people can ramp down,  useful jobs that over 60s who are in labour intensive work can take part in via community work. And so contribute  say 4 or 5 months of the year and rest off.",40-49,Carlow
1810,"Tax the rich!
Raise corporate tax.",40-49,Dublin
1811,"Please look into getting electricity underground and off the pylons. Pylons are an eyesore and have a negative impact on tourism in rural areas. They also have negative health effects. They are noisy in our damp climate with a constant hum off them. This is a problem which is easily solved and as a result there is no excuse not to. There is countrywide opposition to pylon, it’s clear the govt is being lobbied to keep.",,Meath
1812,"The revitalization of rural Irish towns is a must in the coming decades. The GDA has absorbed all the opportunities and people in the countryside are left with little opportunity to work outside of the local shop, pub or farm. As a result of this neglect many rural Irish towns have been infested with nihilistic drug use. The usage of cocaine and heroin has increased and rural towns are being left behind by the GDA.",,Meath
1813,"In order to save the Irish language and our cultural heritage, the education system needs a disruptive change. Irish should no longer be an exam subject but rather the language through which school is taught. This should be a necessity. Think about it - if you go to school in Spain you have to learn Spanish. Everything is taught in Spanish . If this country loses Irish we lose a part of our soul.",,Meath
1814,Continuation of above point. Gaelscoils should be the norm not the exception. Within a few generations of extensive Irish language use in school we can expect Ireland to regain her mother tongue for common use. The way Irish is taught currently inspires hatred of the language and this must change and the fact it hasn’t is a national disgrace. Gaeltacht should be mandatory and government supported to begin the process.,,Meath
1815,"Rural and poorer areas need more amenities. They need a reason not to turn to crime and drugs/alcohol from a young age, as has been the trend lately. Community projects need to start taking place to take the place the church once had in creating a cohesive community. The legalization of marijuana should be passed without issue in order to raise tax revenues after the level of debt post 2008 and covid.",,Meath
1816,"Investing in stocks is prohibitively expensive in Ireland. Paying PRSI, USC and CGT on stocks is another reason why property is the only solid long term investment in Ireland.",30-39,Wicklow
1817,We must begin to re plant the country with our native forests. We can’t accept the level of pine and non native trees being planted in their place. This country was once a magical forest island. Let’s begin to get back to that point. The more trees we plant the more we fight carbon emissions also. Nature is proven to be good for mental and physical health. A society of healthy individuals should be strived for.,20-29,Meath
1818,The private and public health system should be consolidated and focused on efficiency more than anything. The streamlining of the HSE needs to occur sooner rather than later. Start by eliminating deadwood from the bureaucratic structure. Find them jobs elsewhere in the public service - community outreach for example. All available medical resources(private and public) should be focused on clearing waiting lists asap.,20-29,Meath
1819,"National debt needs to be cleared asap. We are in a situation now where we owe over 200 billion to bondholders and banks. In order to reduce sunk costs, physically capable dole takers should be put to work on public projects,(I will mention in next point), at a very low hour count, eg one day a week. This may begin to motivate people who haven’t worked for years to start again and if not will get public work done fast.",20-29,Meath
1820,"Community outreach ideas, aided by prisoners/unemployed - Replanting of forests.
Development of community vegetable/fruit beds.
Construction of amenities in lower income/isolated communities. 
National agricultural project- growing a baseline of food for optional free public consumption to reduce supply chain stress of supermarkets and provide quality food for lower income households and everyone.",20-29,Meath
1821,"30% of crime committed in Ireland is by teenagers. How has this not been addressed? Adults are scared of kids because they face no consequences for violent crimes including murder, assault, rape and hit and run! Word will get out eventually about how lawless Dublin has become and multinationals will refuse to move here.

Bring in hefty fines to families of violent teenagers.",,
1822,How to build housing as the government obviously doesn’t know.,,
1823,"Every adult and teen is walking our roads and footpaths, with a mobile phone and camera.

We should ""leverge the eyes and ears of all our community"" to help make it the best it can be at all times.

For reporting litter, graffitti, vandalism, bins overflowing, slip/trip hazards, health and safety issues.

How that can be done simply and universally ?  
Scan a QR code and take a photo. Done.

Snapfix.com",50-59,Dublin
1824,"Modular homes. With building costs at an all time high, modular homes could provide a solution for young people to be able to afford to build a home. The government should provide grants for first time buyers to build them. High land cost could be an issue but perhaps the government could sell state land to FTBs at discounted rates to facilitate this.",20-29,Dublin
1825,Solar powered heated showers at all beaches. Would make sea swimming and other sea sports accessible in almost any weather.,30-39,Carlow
1826,"Legislation and exemptions on alternative types of housing and housing communities. For example tiny houses, RV's and camper vans, log cabins, tree houses etc.",30-39,Carlow
1827,Legislation for car sharing apps like Bla Bla car. Works extremely well in other European countries.,30-39,Carlow
1828,"An opt out life skills course for teenage children. Should include:
Driving lessons.
Basic vehicle and home maintenace.
Self defence skills.
Cooking and cleaning basics.
Personal finance and budgeting.
CPR and first aid
Basic admin skills.
etc.",30-39,Carlow
1829,"High speed rail from Dublin to Cork, limerick, Galway, Belfast and Derry. With dual track branch connections to major towns between these routes.",30-39,Donegal
1830,Revamp of how irish is taught in schools. With free classes for adults and a small tax incentive for fluent speakers to increase uptake of the language.,30-39,Donegal
1831,4 day working week as a standard across industry.,30-39,Donegal
1832,Childcare to be a government run facility. Fully controlled and funded by the government to enable cheaper childcare and the easier return to work for parents.,30-39,Donegal
1833,Greater incentives for the purchase of electric cars. Maybe a scrappage scheme for trading in a fossil fuel car against the purchase of a new electric car. Scheme needs to be valuable enough to enable low income workers to be able to afford the move to electric vehicles.,30-39,Donegal
1834,"The ontology of research, its space and aims. Inter-disciplinary, cross-disciplinary and multi-disciplinary - Q are these forms of research in parasitic relationships or falling between the cracks of established research fields. Where is the place for research that does not aim to be a product for society to utilise - that aims to broaden horizons beyond a mono research culture? - one that carves its own space?",30-39,Dublin
1835,Removing the 41% deemed disposable tax applied after eight years holding exchange traded funds.,20-29,Kildare
1836,Wave power to avoid blackouts.,20-29,Kildare
1837,"More greenaways, hill walks, trails etc. 

You can make rural living more attractive by utlising the natural beauty in the surroundings and making it more accessible.",20-29,Meath
1838,"Ireland must lead the way in terms of sustainability and environment. I would love to see: 
- Rewilding.
- Improving accessibility of tourists to nature: more and better advertised hiking trails; resource and education centres when visiting a site, including history.
- Improving water quality of main rivers, wildlife restoration efforts.
- Rewilding deserted farms/converting to hiking trails.
- Climate change action.",,
1839,"Reforming the education system - separating religion from education completely and basically modelling schools after the Educate Together model. 
Adding arts and science focus in schools including hands-on approach to learning and experimenting.
Since immigrants are a booster to the economy, many families would be interested in immigrating to a place with solid job opportunities and education for their children.",,
1840,How can we return to long term thinking and planning that lasts beyond the next election cycle?,,
1841,"Reform health care! Model after the UK NHS. Nationalise clinics and surgeries. Improve overall quality. Specialist doctors and nurses can be attracted from around the EU. Today many people in Ireland think twice before visiting a GP because of the upfront cost and small issues become large and complex so are expensive on the system in the long run. Improve overall public health, educate re sports, nutrition, alcohol.",40-49,Dublin
1842,"Improved methods of disposal/recycling of nuclear waste to facilitate the wider use of nuclear power in the generation of electricity. Nuclear power can reduce Green House Gases and contribute to the greening of the planet, safely.",70-79,Limerick
1843,"Improvement of railway connections between cities and large towns. 

How railways can help support regional hubs and business communities in a more flexible/remote future. 

Encourage less car use whilst sustaining rural and town life in Ireland.",30-39,Other
1844,"Community gardens around cities and towns, not just in underprivileged communities (but also!). Many green spaces are ""green concrete"" and could be used for growing food and encouraging urban biodiversity. Elderly citizens and everyone could enjoy working on their own plots, with some supervision / assistance from pro gardeners. Creates a community and sense of wellbeing, GIY ethos, improves nutrition",40-49,Dublin
1845,"Do children need smart phones? Amount of data used through their phones is totally unnecessary, while mental health issues, bullying, abuse etc.  appear to be growing due to excessive use.

Increased demand for data is contributing to energy crisis, so stop such unnecessary use.",70-79,Carlow
1846,"Waste management.
- Reduce littering via education and public recycling bin + litter fines.
- Reduce plastic at the source - less plastic packaging in supermarkets / retail, incentivise reusable, educate.
- Locally manage recycling / waste and don't ship overseas.
- Compost bins everywhere including public facilities, compost education.
- Waste as source of energy.",40-49,Dublin
1847,"Irish visual arts need to be improved-
- International-level exhibitors and exhibitions, hire top curators.
- New large scale galleries in Dublin for international arts.
- Better art education in schools and afterschools. 
- Large library of art research.
- More research and info on important local artists eg Harry Clarke.
- Fund local artists and projects focused on Irish history, controversy.",40-49,Dublin
1848,Benefits and drawbacks of legalising cannabis.,20-29,Donegal
1849,"All public services need to be run more cost-effectively. There are too many committees, too many plans drawn up and no execution. Any committee set-up needs clear mission and a time to execute. Any plan that is drawn up and costs over 40k needs to have a set time to execute conclusions and 1 and 2-year follow-ups. If the plug is pulled a public record should state why and by who.",40-49,Dublin
1850,Ireland needs visionary thought leadership now for our future and security to execute despite changes in government or economy. Set up a 50 year bond auction at the current minuscule interest rates. Ringfence the funds and execute on 10 visionary non-road related ambitious infrastructure projects. Research how to ringfence funding for such a plan while maintaining accountability and timely execution throughout.,40-49,Dublin
1851,"We need more urgent action on our environment.  The revenue are all stick and no carrot and don't encourage positive environmental behaviour through tax incentives. Reward people for becoming net contributors to the energy grid, for using public transport or bike & give every individual and organisation a carbon credit allowance, huge innovation will follow.",40-49,Dublin
1852,"In times of great change comes great opportunity. We have a huge energy crisis pending, a huge environmental crisis on our doorstep and nobody is talking about new solutions in Ireland. We need to reintroduce the nuclear conversation to the public discourse. new technologies like travelling wave reactors and thorium reactors now exist. Find ways to connect with their manufacturers, open a conversation and be leaders.",30-39,Dublin
1853,"Iceland started a programme a couple of years ago to reduce anti social behaviour and drug/alchol abuse in teenagers and young people. This included better and more accessible recreational facilities, funding a wider range of sports and activities and promoting the family unit and social cohesions among other initiatives. It had a massively positive impact and should be a model we seek to replicate.",30-39,Dublin
1854,"More public greenspaces, including more allotments in urban areas. More funding available to renovate derelict buildings in urban areas for private owners. Public swimming pools. Huge anti litter campaigns (maybe look at how NZ pushes this). Food literacy compaigns (we could learn from similar Dutch models in this case). A country wide fully linked network of bike lanes and walking/hiking trails.",30-39,Dublin
